iter	Passed	Remaining
0	379	2278785
1	483	1449375
2	893	1786140
3	976	1463341
4	1048	1256703
5	1278	1277216
6	1481	1268722
7	1585	1187231
8	1704	1134699
9	2323	1391987
10	2794	1521528
11	2872	1433181
12	2994	1378925
13	3638	1555513
14	3756	1498771
15	4383	1639588
16	5061	1781257
17	5139	1707959
18	5193	1634755
19	5380	1608900
20	5940	1691260
21	6012	1633752
22	6260	1627026
23	6642	1653995
24	6750	1613411
25	6813	1565472
26	6968	1541520
27	7073	1508588
28	7159	1474084
29	7326	1458023
30	7499	1444027
31	8169	1523680
32	8287	1498485
33	8833	1550045
34	8951	1525644
35	9019	1494185
36	9137	1472594
37	9321	1462417
38	9524	1455773
39	9644	1437037
40	10022	1456640
41	10130	1437109
42	10303	1427355
43	10415	1409869
44	10469	1385475
45	10546	1365144
46	10642	1348003
47	11199	1388706
48	11421	1387121
49	11574	1377310
50	11657	1359765
51	11811	1351030
52	12320	1382399
53	12426	1368300
54	12504	1351589
55	12612	1338701
56	12688	1322948
57	12913	1322957
58	13001	1309163
59	13085	1295429
60	13320	1296925
61	13384	1281860
62	13525	1274620
63	13614	1262736
64	13707	1251642
65	13802	1240960
66	13875	1228724
67	14033	1224226
68	14583	1253512
69	14892	1261631
70	15025	1254755
71	15081	1241738
72	15197	1233872
73	15262	1222212
74	15378	1214937
75	15647	1219706
76	15815	1216594
77	16525	1254646
78	16669	1249358
79	16859	1247612
80	16926	1236915
81	17540	1265937
82	17650	1258284
83	17722	1248159
84	18411	1281195
85	18602	1279220
86	18700	1271019
87	19168	1287769
88	19804	1315325
89	19876	1305248
90	20523	1332681
91	21278	1366445
92	21968	1395347
93	22532	1415733
94	22770	1415374
95	22865	1406257
96	22928	1395313
97	23024	1386668
98	23087	1376147
99	23344	1377315
100	23474	1371064
101	23581	1363583
102	23695	1356615
103	23771	1347669
104	23900	1341857
105	24629	1369490
106	24840	1368105
107	25457	1388854
108	25601	1383647
109	25667	1374400
110	26237	1392000
111	26289	1382057
112	26408	1375802
113	26554	1371055
114	26596	1361030
115	26668	1352731
116	26723	1343717
117	26817	1336771
118	27047	1336693
119	27125	1329151
120	27220	1322548
121	27651	1332244
122	28227	1348741
123	28276	1339926
124	28343	1332135
125	28755	1340576
126	28804	1332033
127	28871	1324459
128	29448	1340255
129	29487	1331482
130	29543	1323589
131	29896	1329036
132	30004	1323572
133	30675	1342844
134	31279	1358932
135	31356	1352037
136	31405	1344003
137	31469	1336753
138	31519	1329038
139	31610	1323110
140	31717	1317981
141	32298	1332417
142	32930	1348758
143	33518	1363101
144	33557	1355031
145	34216	1371950
146	34298	1365621
147	34633	1369436
148	34737	1364097
149	34886	1360562
150	34971	1354620
151	35068	1349228
152	35780	1367357
153	35902	1362882
154	36580	1379437
155	36676	1373956
156	37400	1391903
157	37502	1386657
158	38099	1399600
159	38181	1393613
160	38415	1393202
161	38459	1385978
162	38536	1379992
163	38930	1385352
164	39016	1379775
165	39090	1373820
166	39170	1368154
167	39436	1369019
168	39584	1365769
169	39762	1363615
170	40821	1391497
171	40919	1386496
172	41051	1382702
173	41891	1402636
174	42014	1398488
175	42108	1393395
176	42260	1390297
177	42367	1385749
178	42687	1388162
179	42791	1383607
180	43657	1403544
181	43857	1401979
182	44795	1423900
183	44905	1419415
184	44974	1413660
185	45183	1412361
186	45921	1427505
187	46662	1442579
188	47425	1458156
189	47580	1454958
190	47685	1450281
191	48377	1463418
192	49043	1475614
193	49718	1487967
194	49807	1482727
195	50925	1508018
196	51054	1503913
197	51162	1499221
198	51258	1494235
199	51483	1493015
200	51630	1489584
201	52904	1518514
202	53358	1523751
203	53663	1524676
204	53717	1518502
205	53903	1516098
206	54029	1512034
207	54787	1525609
208	55113	1527095
209	55724	1536397
210	56504	1550263
211	56591	1545041
212	56791	1542981
213	56889	1538149
214	57081	1535893
215	57191	1531469
216	57266	1526127
217	57924	1536321
218	58033	1531927
219	58184	1528658
220	58278	1523936
221	58424	1520627
222	58571	1517346
223	59036	1522295
224	59077	1516319
225	59159	1511436
226	59716	1518680
227	60089	1521221
228	60654	1528549
229	60756	1524194
230	60945	1522058
231	61054	1517948
232	61184	1514375
233	61266	1509678
234	61350	1505045
235	61474	1501446
236	61564	1497039
237	61613	1491671
238	62179	1498815
239	62266	1494395
240	62321	1489248
241	62396	1484613
242	62530	1481432
243	62651	1477954
244	62695	1472698
245	62746	1467659
246	62820	1463174
247	63391	1470281
248	63498	1466574
249	63919	1470138
250	64713	1482227
251	64780	1477615
252	64864	1473428
253	64972	1469803
254	65081	1466242
255	65722	1474649
256	66444	1484782
257	67196	1495509
258	67909	1505290
259	67967	1500519
260	69029	1517863
261	70248	1538490
262	70346	1534513
263	70390	1529386
264	71408	1545381
265	72054	1553239
266	72140	1548999
267	72236	1545007
268	72320	1540776
269	72540	1539478
270	72628	1535380
271	72851	1534169
272	72962	1530601
273	73917	1544707
274	74676	1554624
275	74850	1552341
276	74980	1549156
277	75731	1558767
278	76449	1567628
279	76599	1564813
280	76702	1561068
281	77689	1575281
282	77770	1571079
283	78768	1585356
284	79563	1595450
285	79933	1596998
286	80689	1606192
287	80781	1602160
288	80911	1598903
289	81506	1604842
290	82382	1616218
291	82467	1612079
292	82721	1611241
293	82914	1609218
294	83095	1606976
295	83185	1603008
296	83337	1600246
297	83435	1596466
298	83519	1592462
299	84416	1603919
300	84504	1599967
301	84602	1596242
302	84846	1595290
303	85828	1608160
304	85966	1605170
305	86602	1611479
306	86799	1609610
307	86922	1606377
308	87062	1603480
309	87419	1604572
310	87507	1600739
311	87655	1598024
312	87760	1594542
313	87920	1592092
314	88043	1588978
315	88152	1585632
316	88710	1590360
317	88784	1586399
318	88882	1582890
319	89070	1581003
320	89161	1577406
321	89803	1583562
322	90529	1591140
323	90602	1587223
324	91286	1594005
325	91649	1595143
326	91836	1593240
327	91900	1589198
328	92543	1595187
329	92615	1591300
330	93286	1597709
331	93475	1595833
332	93563	1592273
333	93722	1589911
334	93881	1587581
335	93994	1584471
336	94058	1580581
337	94144	1577064
338	94225	1573483
339	94301	1569840
340	94389	1566425
341	94462	1562780
342	94611	1560407
343	95184	1565002
344	95238	1561082
345	95289	1557124
346	95879	1561974
347	95929	1558033
348	96005	1554516
349	96060	1550687
350	96156	1547548
351	96207	1543693
352	96257	1539850
353	96331	1536398
354	96466	1533955
355	96531	1530402
356	96611	1527105
357	97206	1531954
358	97889	1538154
359	98583	1544475
360	98645	1540899
361	98700	1537212
362	98769	1533791
363	98874	1530920
364	99158	1530839
365	99236	1527587
366	99301	1524158
367	99551	1523564
368	99619	1520213
369	100291	1526058
370	100410	1523472
371	100511	1520636
372	100586	1517421
373	100696	1514756
374	101233	1518508
375	101860	1523571
376	101923	1520197
377	101974	1516665
378	102096	1514208
379	102760	1519766
380	103288	1523308
381	103451	1521434
382	103551	1518660
383	103619	1515439
384	103687	1512227
385	103810	1509818
386	103933	1507443
387	104003	1504299
388	104076	1501213
389	104245	1499526
390	104354	1496994
391	104770	1498862
392	104858	1496039
393	104949	1493261
394	105016	1490165
395	105112	1487497
396	105213	1484915
397	105797	1489144
398	105871	1486186
399	105972	1483610
400	106545	1487648
401	106897	1488590
402	107091	1487321
403	107152	1484221
404	107772	1488859
405	108183	1490587
406	108259	1487707
407	108459	1486530
408	108524	1483521
409	108586	1480483
410	108679	1477888
411	108724	1474637
412	108783	1471604
413	108928	1469740
414	108986	1466720
415	109092	1464355
416	109520	1466314
417	109576	1463288
418	109678	1460890
419	109745	1458053
420	109840	1455579
421	110430	1459667
422	110504	1456940
423	110596	1454454
424	110719	1452373
425	110879	1450801
426	111121	1450307
427	111692	1454095
428	112306	1458416
429	112403	1456022
430	112460	1453108
431	112510	1450132
432	112612	1447843
433	112784	1446453
434	112854	1443765
435	112930	1441161
436	113676	1447102
437	113797	1445078
438	114451	1449806
439	114550	1447504
440	114638	1445074
441	114733	1442735
442	115212	1445233
443	115884	1450121
444	116031	1448432
445	116118	1446017
446	116219	1443779
447	116336	1441737
448	116379	1438797
449	116434	1436021
450	117008	1439647
451	117675	1444386
452	118090	1446022
453	118659	1449528
454	118910	1449135
455	118982	1446576
456	119049	1443961
457	119128	1441503
458	119186	1438808
459	119262	1436338
460	119364	1434188
461	119456	1431924
462	119518	1429323
463	119759	1428853
464	119819	1426240
465	119880	1423644
466	120008	1421861
467	120068	1419271
468	120681	1423213
469	120794	1421267
470	120851	1418656
471	120904	1416017
472	121457	1419230
473	121522	1416737
474	121592	1414318
475	121710	1412455
476	121773	1409969
477	122404	1414053
478	122509	1412056
479	122760	1411740
480	122831	1409365
481	122919	1407197
